#Rank,University,Town
1580,Nazarene Bible College,Colorado Springs
1581,Lake Erie College,Painesville
1582,Texas College,Tyler
1583,Webb Institute,Glen Cove
1584,Franciscan Missionaries of Our Lady University,Baton Rouge
1585,Mount Carmel College of Nursing,Columbus
1586,Mercy College of Ohio,Toledo
1587,Martin Methodist College,Pulaski
1588,"York College, City University of New York",Jamaica
1589,Kentucky Christian University,Grayson
1590,Barclay College,Haviland
1591,University of Maine at Fort Kent,Fort Kent
1592,Atlanta Metropolitan State College,Atlanta
1593,Peirce College,Philadelphia
1594,Central Christian College of the Bible,Moberly ...
1595,Presentation College,Aberdeen
1596,William Peace University,Raleigh
1597,Benjamin Franklin Institute of Technology,Boston
1598,Western State College of Law,Irvine
1599,Trocaire College,Buffalo
1600,Blue Mountain College,Blue Mountain
1601,Everglades University,Boca Raton ...
1602,Humphreys University,Stockton
1603,Calvary University,Kansas City
1604,Appalachian College of Pharmacy,Oakwood
1605,Northwest Christian University,Eugene
1606,The School of Architecture at Taliesin,Scottsdale
1607,Washington Adventist University,Takoma Park
1608,Massachusetts School of Law,Andover
1609,Appalachian Bible College,Mount Hope
1610,University of the West,Rosemead
1611,Northern New Mexico College,Espanola ...
1612,Louisiana State University Health Sciences Center-Shreveport,Shreveport
1613,Touro University California,Vallejo
1614,New England College of Business,Falmouth ...
1615,California Institute of the Arts,Valencia
1616,Baptist Memorial College of Health Sciences,Memphis
